location.district,operation_type.name,property_type,build_area,longitud,latitud,years_old,bathrooms,bedrooms,garages,has_swimming_pool,usd_price
san isidro,Alquilar,departamento,150.0,-77.01123299999998,-12.096771400000002,0.0,6.0,3.0,1.0,False,1150.0
santiago de surco,Comprar,departamento,117.0,-76.985639,-12.123111411464286,0.0,3.0,3.0,1.0,False,234396.0
miraflores,Alquilar,departamento,84.0,-77.029887,-12.11376070830611,7.0,3.0,2.0,1.0,True,1000.0
santiago de surco,Comprar,departamento,117.0,-76.98563089999998,-12.1230926,0.0,3.0,3.0,1.0,False,234396.0
barranco,Alquilar,departamento,28.0,-77.0224643,-12.1366941,0.0,1.0,1.0,0.0,True,427.0
pueblo libre,Comprar,departamento,69.0,-77.06837900000001,-12.070442800000002,6.0,2.0,2.0,1.0,False,122000.0
miraflores,Alquilar,departamento,230.0,-77.04842370000001,-12.1152552,8.0,4.0,3.0,2.0,True,561.0
san juan de miraflores,Comprar,casa,66.0,-76.969636,-12.157595645644856,0.0,1.0,4.0,1.0,False,341.0
rimac,Alquilar,departamento,51.0,-77.04301070000001,-12.0165855,0.0,2.0,2.0,0.0,True,39066.077
comas,Comprar,departamento,151.0,-77.0582371,-11.926917699999999,3.0,1.0,2.0,1.0,True,351594.689
santiago de surco,Comprar,departamento,114.0,-76.98563399999999,-12.123011760549383,0.0,4.0,3.0,2.0,False,210000.0
santiago de surco,Comprar,departamento,110.0,-76.98563399999999,-12.122938333535616,0.0,4.0,3.0,2.0,False,205000.0
santiago de surco,Comprar,departamento,77.0,-76.967671,-12.099429080603633,9.0,4.0,3.0,2.0,True,92500.0
san borja,Comprar,departamento,82.0,-76.9953412,-12.0879256,15.0,3.0,3.0,2.0,False,79000.0
san miguel,Comprar,casa,103.0,-77.0849267,-12.089098300000002,6.0,2.0,3.0,0.0,False,132885.701
san miguel,Comprar,departamento,100.0,-77.0849267,-12.089098300000002,6.0,2.0,3.0,0.0,False,634.824
lima,Comprar,departamento,74.0,-77.0305813,-12.0780541,0.0,2.0,3.0,0.0,False,103110.026
jesus maria,Alquilar,departamento,45.0,-77.057824,-12.089889900000001,5.0,2.0,3.0,1.0,False,415.077
lima,Comprar,departamento,80.0,-77.0305813,-12.0780541,0.0,2.0,3.0,0.0,False,110361.666
santiago de surco,Alquilar,departamento,103.0,-76.9855123,-12.1363918,31.0,1.0,1.0,0.0,False,850.0
lima,Comprar,departamento,100.0,-77.0305813,-12.0780541,0.0,2.0,3.0,0.0,False,800.0
san borja,Alquilar,departamento,180.0,-76.9915126,-12.0967446,15.0,2.0,3.0,1.0,False,1850.0
san borja,Alquilar,departamento,60.0,-76.9915126,-12.0967446,18.0,2.0,3.0,1.0,False,439.493
miraflores,Alquilar,departamento,60.0,-77.040082,-12.122947300000002,7.0,4.0,3.0,2.0,False,439.493
magdalena,Alquilar,departamento,100.0,-77.0623238,-12.0929416,10.0,1.0,2.0,0.0,False,600.0
magdalena,Alquilar,departamento,73.0,-77.06298174142457,-12.092589522646115,11.0,1.0,2.0,0.0,False,103110.026
barranco,Alquilar,departamento,71.0,-77.021955,-12.136815169090752,7.0,2.0,3.0,1.0,False,99349.916
lima,Comprar,departamento,72.0,-77.0305813,-12.0780541,0.0,2.0,3.0,0.0,False,100209.37
lima,Comprar,departamento,90.0,-77.0305813,-12.0780541,0.0,2.0,3.0,0.0,False,700.0
