location.district,operation_type.name,property_type.name,usd_price,total_area,years_old,bathrooms,bedrooms,garages,has_swimming_pool,lon,lat
san isidro,Alquilar,departamento,1150.0,155.0,0.0,6.0,3.0,1.0,False,-12.0967714,-77.01123299999999
santiago de surco,Comprar,departamento,234396.0,117.0,0.0,3.0,3.0,1.0,False,-12.123111411464285,-76.985639
miraflores,Alquilar,departamento,1000.0,84.0,7.0,3.0,2.0,1.0,True,-12.11376070830611,-77.029887
santiago de surco,Comprar,departamento,234396.0,117.0,0.0,3.0,3.0,1.0,False,-12.1230926,-76.98563089999999
barranco,Alquilar,departamento,427.0,28.0,0.0,1.0,1.0,0.0,True,-12.1366941,-77.0224643
pueblo libre,Comprar,departamento,122000.0,69.0,6.0,2.0,2.0,1.0,False,-12.0704428,-77.068379
miraflores,Alquilar,departamento,561.0,230.0,8.0,4.0,3.0,2.0,True,-12.1152552,-77.0484237
villa maria del triunfo,Comprar,terreno-lote,130000.0,255.0,0.0,2.0,3.0,0.0,False,-12.1829023,-76.9631224
san juan de miraflores,Comprar,casa,155000.0,160.0,0.0,1.0,4.0,1.0,False,-12.157595645644856,-76.969636
rimac,Alquilar,departamento,341.0,66.0,0.0,2.0,2.0,0.0,True,-12.0165855,-77.0430107
comas,Comprar,departamento,39066.077,51.0,3.0,1.0,2.0,1.0,True,-11.9269177,-77.0582371
carabayllo,Comprar,terreno-lote,50000.0,117.0,0.0,2.0,3.0,0.0,False,-11.874070522362913,-77.046078
santiago de surco,Comprar,departamento,351594.689,208.0,0.0,4.0,3.0,2.0,False,-12.123011760549382,-76.985634
santiago de surco,Comprar,departamento,351594.689,208.0,0.0,4.0,3.0,2.0,False,-12.122938333535618,-76.985634
santiago de surco,Comprar,departamento,210000.0,114.0,9.0,4.0,3.0,2.0,True,-12.099429080603633,-76.967671
san borja,Comprar,departamento,205000.0,110.0,15.0,3.0,3.0,2.0,False,-12.0879256,-76.9953412
san miguel,Comprar,casa,92500.0,82.0,6.0,2.0,3.0,0.0,False,-12.0890983,-77.0849267
san miguel,Comprar,departamento,79000.0,82.0,6.0,2.0,3.0,0.0,False,-12.0890983,-77.0849267
lima,Comprar,departamento,132885.701,103.0,0.0,2.0,3.0,0.0,False,-12.0780541,-77.0305813
jesus maria,Alquilar,departamento,634.824,100.0,5.0,2.0,3.0,1.0,False,-12.0898899,-77.057824
lima,Comprar,departamento,103110.026,74.0,0.0,2.0,3.0,0.0,False,-12.0780541,-77.0305813
santiago de surco,Alquilar,departamento,415.077,50.0,31.0,1.0,1.0,0.0,False,-12.1363918,-76.9855123
lima,Comprar,departamento,110361.666,80.0,0.0,2.0,3.0,0.0,False,-12.0780541,-77.0305813
san borja,Alquilar,departamento,850.0,103.0,15.0,2.0,3.0,1.0,False,-12.0967446,-76.9915126
san borja,Alquilar,departamento,800.0,100.0,18.0,2.0,3.0,1.0,False,-12.0967446,-76.9915126
miraflores,Alquilar,departamento,1850.0,180.0,7.0,4.0,3.0,2.0,False,-12.1229473,-77.040082
magdalena,Alquilar,departamento,439.493,60.0,10.0,1.0,2.0,0.0,False,-12.0929416,-77.0623238
magdalena,Alquilar,departamento,439.493,60.0,11.0,1.0,2.0,0.0,False,-12.092589522646117,-77.06298174142457
barranco,Alquilar,departamento,600.0,100.0,7.0,2.0,3.0,1.0,False,-12.136815169090752,-77.021955
lima,Comprar,departamento,103110.026,73.0,0.0,2.0,3.0,0.0,False,-12.0780541,-77.0305813
lima,Comprar,departamento,99349.916,71.0,0.0,2.0,3.0,0.0,False,-12.0780541,-77.0305813
lima,Comprar,departamento,100209.37,72.0,0.0,2.0,3.0,0.0,False,-12.0780541,-77.0305813
punta hermosa,Comprar,terreno-lote,704700.0,469.0,0.0,2.0,3.0,0.0,False,-12.33395700616485,-76.821048
surquillo,Alquilar,departamento,700.0,90.0,5.0,2.0,3.0,1.0,True,-12.1149014,-77.0069896
barranco,Alquilar,departamento,550.0,38.0,5.0,1.0,1.0,1.0,False,-12.144503,-77.0230323
santiago de surco,Alquilar,departamento,900.0,204.0,20.0,2.0,2.0,2.0,False,-12.114434232198684,-76.982445
ate,Alquilar,local industrial,780000.0,300.0,27.0,2.0,3.0,2.0,False,-12.062611701593958,-76.961216
miraflores,Comprar,casa,780000.0,300.0,20.0,3.0,6.0,2.0,False,-12.1098902,-77.03160729999999
jesus maria,Alquilar,departamento,579.0,83.0,13.0,2.0,3.0,0.0,False,-12.07555116063585,-77.039188
jesus maria,Comprar,departamento,137000.0,83.0,13.0,2.0,3.0,0.0,False,-12.075506497036262,-77.039182
la molina,Comprar,terreno-lote,299000.0,1350.0,0.0,2.0,3.0,0.0,False,-12.0943603,-76.89991049999999
san borja,Alquilar,oficina,231.0,20.0,9.0,1.0,3.0,1.0,False,-12.0893173,-76.9960274
la molina,Comprar,casa,549500.0,302.0,20.0,6.0,6.0,3.0,False,-12.092888126439165,-76.948796
lurin,Comprar,local industrial,1434000.0,2000.0,11.0,2.0,3.0,5.0,False,-12.296727403903125,-76.843198
lurin,Alquilar,local industrial,6300.0,2000.0,0.0,2.0,3.0,0.0,False,-12.2972594,-76.84263760000002
breña,Comprar,casa,128000.0,57.0,30.0,3.0,5.0,0.0,False,-12.0540671,-77.05079289999999
santiago de surco,Alquilar,departamento,560.0,90.0,12.0,2.0,2.0,0.0,False,-12.0838031,-76.9776974
pueblo libre,Comprar,departamento,155000.0,85.0,1.0,2.0,3.0,1.0,True,-12.0723992,-77.06501519999999
chorrillos,Alquilar,casa,634.824,90.0,50.0,2.0,4.0,0.0,False,-12.1848841,-77.0074502
pueblo libre,Alquilar,departamento,488.326,84.0,0.0,2.0,3.0,0.0,False,-12.0733501,-77.07432279999999
san borja,Alquilar,departamento,1600.0,180.0,5.0,4.0,3.0,1.0,False,-12.0951536,-76.9920049
san borja,Alquilar,departamento,2000.0,180.0,5.0,4.0,3.0,1.0,False,-12.0938198,-77.000974
santiago de surco,Comprar,departamento,340000.0,360.0,8.0,5.0,4.0,4.0,False,-12.1257318,-76.96878559999999
santiago de surco,Comprar,departamento,320000.0,155.0,4.0,2.0,2.0,2.0,False,-12.11678240742345,-76.981591
ate,Alquilar,departamento,439.493,160.0,6.0,2.0,3.0,1.0,False,-12.0735525,-76.9781711
chorrillos,Alquilar,local comercial,927.819,220.0,0.0,2.0,3.0,0.0,False,-12.1984879,-77.0149692
san juan de lurigancho,Comprar,casa,500000.0,200.0,26.0,2.0,3.0,0.0,False,-12.0130924,-77.01172199999999
lima,Comprar,departamento,40000.0,50.0,0.0,1.0,3.0,0.0,False,-12.0505901,-77.0390711
santiago de surco,Alquilar,oficina,899.0,56.0,0.0,1.0,3.0,1.0,False,-12.0870064,-76.9699854
miraflores,Alquilar,casa,520.0,45.0,25.0,1.0,1.0,0.0,False,-12.1229369,-77.0307411
villa el salvador,Alquilar,local comercial,2700.0,110.0,0.0,1.0,3.0,1.0,False,-12.2286011,-76.9276716
miraflores,Alquilar,departamento,900.0,130.0,0.0,3.0,3.0,2.0,False,-12.1206825,-77.0099446
los olivos,Comprar,departamento,70000.0,74.0,9.0,2.0,3.0,0.0,False,-11.9593005,-77.07602539999999
santa anita,Comprar,departamento,58000.0,54.0,20.0,1.0,2.0,0.0,False,-12.0530832,-76.9645245
chorrillos,Comprar,departamento,117198.23,97.0,6.0,2.0,3.0,1.0,False,-12.1806003,-77.00475
san miguel,Comprar,casa,380000.0,320.0,40.0,6.0,3.0,5.0,False,-12.0697923,-77.0971342
san miguel,Comprar,casa,380000.0,160.0,40.0,4.0,10.0,2.0,False,-12.0697923,-77.0971342
santiago de surco,Comprar,departamento,284000.0,134.0,12.0,3.0,3.0,2.0,False,-12.084828119236292,-76.969471
santiago de surco,Alquilar,departamento,341.828,52.0,0.0,1.0,2.0,0.0,False,-12.1396485,-76.9897208
santiago de surco,Comprar,departamento,245000.0,160.0,10.0,3.0,3.0,2.0,False,-12.1097434,-76.9695709
san borja,Comprar,departamento,150404.395,91.0,10.0,2.0,3.0,0.0,False,-12.0954443,-76.9947088
san martin de porres,Comprar,local industrial,3750000.0,5000.0,0.0,2.0,3.0,0.0,False,-11.963685294804453,-77.083983
puente piedra,Alquilar,local comercial,975.0,490.0,10.0,3.0,3.0,2.0,False,-11.8430206,-77.1020758
barranco,Comprar,departamento,280000.0,168.0,10.0,3.0,3.0,2.0,False,-12.1538799,-77.0215125
miraflores,Comprar,departamento,193000.0,115.0,12.0,3.0,3.0,1.0,False,-12.1179536,-77.0357867
lince,Comprar,departamento,168000.0,129.0,56.0,2.0,2.0,0.0,False,-12.086335869224499,-77.038449
san miguel,Comprar,terreno-lote,225000.0,160.0,0.0,2.0,3.0,0.0,False,-12.080838,-77.0972934
san miguel,Comprar,departamento,116000.0,86.0,7.0,2.0,3.0,1.0,False,-12.083171863491454,-77.091274
lima,Comprar,local comercial,67388.982,14.0,2.0,0.0,3.0,0.0,False,-12.046394085186073,-77.075179
miraflores,Comprar,casa,580000.0,300.0,41.0,4.0,6.0,1.0,False,-12.1286468,-77.00724369999999
lima,Comprar,departamento,91585.0,59.0,0.0,2.0,3.0,0.0,False,-12.074737,-77.0331116
lima,Comprar,departamento,105038.0,69.0,0.0,2.0,3.0,0.0,False,-12.074737,-77.0331116
san borja,Comprar,departamento,145000.0,82.0,27.0,1.0,3.0,0.0,False,-12.0917941,-77.0009455
barranco,Comprar,departamento,205000.0,75.0,1.0,3.0,2.0,2.0,False,-12.1391815,-77.0240999
barranco,Alquilar,departamento,850.0,75.0,1.0,3.0,2.0,2.0,True,-12.1391815,-77.0240999
barranco,Alquilar,departamento,850.0,68.0,5.0,2.0,1.0,1.0,False,-12.147344,-77.0233949
lima,Comprar,departamento,112969.0,74.0,0.0,2.0,3.0,0.0,False,-12.074737,-77.0331116
lima,Comprar,departamento,112969.327,92.0,0.0,2.0,3.0,0.0,False,-12.074737,-77.0331116
san borja,Comprar,departamento,175000.0,106.0,30.0,3.0,3.0,1.0,False,-12.0906686,-76.9957182
lince,Alquilar,departamento,341.828,70.0,5.0,1.0,2.0,0.0,False,-12.0847901,-77.0428799
miraflores,Alquilar,departamento,750.0,100.0,4.0,3.0,3.0,1.0,False,-12.1221662,-77.02527649999999
la molina,Comprar,casa,599000.0,450.0,15.0,4.0,4.0,2.0,True,-12.084909658057242,-76.916635
la molina,Alquilar,casa,2800.0,450.0,15.0,4.0,4.0,2.0,True,-12.08492539465878,-76.916679
miraflores,Alquilar,departamento,550.0,40.0,21.0,1.0,1.0,1.0,False,-12.1275806,-77.0330532
surquillo,Alquilar,departamento,150000.0,89.0,10.0,2.0,3.0,1.0,False,-12.112178990036822,-76.996799
ancon,Comprar,casa,65000.0,93.0,0.0,1.0,2.0,1.0,False,-11.7754278,-77.1844619
chorrillos,Comprar,terreno-lote,650000.0,503.0,0.0,2.0,3.0,0.0,False,-12.1690458,-77.0291857
barranco,Comprar,terreno-lote,280000.0,230.0,0.0,2.0,3.0,0.0,False,-12.1501031,-77.0194398
los olivos,Comprar,terreno-lote,220000.0,225.0,0.0,2.0,3.0,0.0,False,-11.9355105,-77.08041709999999
miraflores,Alquilar,departamento,650.0,100.0,17.0,2.0,3.0,1.0,False,-12.1139529,-77.0357653
miraflores,Alquilar,oficina,1499.0,108.0,6.0,2.0,3.0,2.0,False,-12.1146042,-77.0442834
miraflores,Comprar,oficina,199999.0,81.0,11.0,1.0,3.0,2.0,False,-12.1169376,-77.0358029
miraflores,Alquilar,oficina,999.0,81.0,11.0,1.0,3.0,2.0,False,-12.1169376,-77.0358029
miraflores,Comprar,oficina,203700.0,97.0,0.0,2.0,3.0,3.0,False,-12.1107696,-77.0299588
santiago de surco,Comprar,oficina,299999.0,194.0,0.0,3.0,3.0,4.0,False,-12.1024637,-76.97020239999999
san isidro,Comprar,departamento,155000.0,87.0,40.0,2.0,3.0,1.0,False,-12.0904434,-77.0196144
santiago de surco,Alquilar,oficina,1999.0,200.0,10.0,3.0,3.0,4.0,False,-12.1024637,-76.97020239999999
miraflores,Alquilar,oficina,2599.0,165.0,11.0,2.0,3.0,3.0,False,-12.1169376,-77.0358029
miraflores,Comprar,departamento,145000.0,90.0,54.0,1.0,2.0,1.0,False,-12.1258713,-77.02811580000001
